ABET	VBOO; 
appearing	optree;  tree op; 
appears	optree; 
appendix	aanhangsel;  blindederm;  byvoegsel;  vulslurp; 
applause	applous; 
applicable	toepaslik; 
applicant	aansoeker;  applikant;  aanvraer; 
applicants	aansoekers;  applikante;  aanvraers; 
application	 aanwending;  applikering; aansoek;  aanhegting;  toedeling;  aanlegging;  toediening;  toepassing;  oplegging;  aanwerk; 
applications	 applikerings;  aanhegtings;  aanwendings;  aanleggings;  toepassings;  toedelings;  toedienings; aansoeke;  opleggings; 
applied	toegepaste;  applikatief; 
applies	 aanslaan;  applikeer;  dien toe;  doen aansoek;  heg aan;  slaan aan;  pas toe;  aanlê;  werk aan;  lê op;  bring aan;  toepas;  aanbring;  aanwend;  aanheg;  lê aan;  aanwerk;  toedien;  aansoek doen;  wend aan; bevestig;  oplê; 
apply	 aanslaan;  applikeer;  aanlê;  toepas;  aanbring;  aanheg;  aanwend;  aanwerk;  toedien;  aansoek doen; bevestig;  oplê; 
appoint	aanstel;  benoem; 
appointed	 benoemde; aangestelde; 
appointing	aanstel;  benoem;  is besig om aan te stel; 
appointment	aanstelling;  afspraak; 
appointments	toerusting; 
appoints	aanstel;  benoem; 
appreciate	waardeer;  in waarde vermeerder;  op prys stel; 
appreciated	het op prys gestel;  het in waarde vermeerder;  waardeerde; 
appreciates	waardeer;  in waarde vermeerder;  op prys stel; 
appreciation	waardering;  waardevermeerdering;  opprysstelling; 
approach	 benadering;  nader;  aantrede;  benader; toegang;  nadering;  aanloop; 
approached	 benaderde; het nadergegaan;  het genader; 
approaches	toetredes;  benader;  toegange;  naderings;  benaderings;  aanlope; nader; 
appropriate	 gepas;  toewys;  bewillig;  aanwend; geskik; 
appropriated	bewilligde;  toegewysde;  aangewende; geskikte; aangepaste; 
appropriately	 gepas;  van pas;  paslik; behoorlik;  toepaslik;  geskik; 
appropriation	 bewilliging; aanwending;  toe-eiening; 
appropriations	 aanwendings;  toe-eienings; bewilligings; 
approval	 sigsending; goedkeuring; 
approve	goedkeur; 
approved	goedgekeurde; 
approximately	ongeveer;  naastenby;  by benadering; 
arbitration	arbitrasie; 
arbitrator	arbiter;  skeidsregter; 
architect	argitek; 
architects	argitekte; 
architectural	argitektonies; 
architecture	argitektuur; 
archival	 argief-; argivaal; 
archive	argief; 
archives	 argiefbewaarplek;  argiefstukke; argief; 
are	aar; 
area	deel;  streek;  oppervlakte;  oppervlakarea;  area;  gebied; 
areas	gebiede;  areas;  oppervlaktes;  oppervlakareas;  dele;  streke; 
argue	argumenteer;  redeneer; 
argued	het geredeneer;  het geargumenteer; 
argument	argument;  woordewisseling;  redenasie; 
arguments	 woordewisselings;  redenasies; argumente; 
arise	ontstaan; 
arises	ontstaan; 
arising	ontstaan; 
arm	 been; arm;  speek; 
armed	 bewapen; genael;  gehoring; 
arms	wapens;  arms;  wapen; 
arose	het ontstaan; 
around	rondom; 
arrange	verwerk;  rangskik;  orden; 
arranged	 gerangskikte;  geordende; verwerkte; 
arrangement	 rangskikking;  inrigting;  reëling; stand;  uitleg;  ordening;  uitlegtekening;  verwerking; 
arrangements	inrigtings;  reëlings;  verwerkings;  uitlegtekeninge;  ordenings;  rangskikkings;  uitlegte; 
array	reeks;  uitdos;  dos;  skikking;  skik;  uitleg; 
arrest	inhegtenisneming;  stuit;  vasvang;  arresteer; 
arrested	vasgevangde;  gearresteerde; gearresteerde; 
arrival	aankoms; 
arrive	 opdaag;  tref;  aanland;  arriveer;  bereik;  gebeur; kom;  naam maak;  aankom;  aanbreek; 
arrived	 aangekom; gekom;  grondgevat;  opgedaag; 
art	kuns; 
