ABET	VBOO; 
resolve	 ontbind;  oplos; besluit;  skei;  herlei; 
resolved	 herleide; ontbinde;  opgeloste;  geskeide; 
resolving	 ontbind;  oplos;  om op te los; besluit;  skei;  herlei; 
resounding	dawerende;  weergalmende;  klinkende; 
resource	 hulpbron; bron; 
resources	hulpbronne;  bronne; 
respect	 agting; respek;  respekteer; 
respected	gerespekteerde; 
respective	eie;  betreklik;  respektief;  onderskeie;  besonder; 
respectively	respektiewelik; 
respects	respek;  respekteer; 
respond	reageer;  respondeer; 
responded	het reageer; 
respondent	respondent;  responderend; 
respondents	respondente; 
responding	reageer; 
responds	reageer; 
response	 reaksie;  respons;  resultaat;  responsie; antwoord; 
responses	 volgaanbiedinge; resultate;  reaksies;  antwoorde;  responsies; 
responsibilities	verantwoordelikhede;  toerekenbaarhede; 
responsibility	verantwoordelikheid;  toerekenbaarheid; 
responsible	verantwoordelik;  toerekenbaar; 
responsive	responsief; 
rest	res;  laat rus;  rusteken;  rus; 
restitution	 restitusie;  herstelling van huweliksregte; herstel; 
restoration	herstel;  herstelling;  restourasie; 
restorative	versterkend;  versterkende middel;  herstellend;  laafdrank;  herstel-;  genesende middel; 
restore	 restoureer; herstel; 
restored	herstelde; gerestoureerde;  gerestoureerde; 
restoring	 restoureer; herstel; restoureer; 
restraint	 stremming;  teenhouding;  verhindering; beperking;  bevestiging;  weerhouding;  bedwinging; 
restricted	beperk; 
restriction	beperking;  vernouing;  inperking; 
restrictions	 inperkings; beperkings;  vernouings; 
restructuring	herstrukturering; 
result	 afloop; gevolg;  uitslag;  antwoord;  kwosiënt;  resultaat;  produk; 
resulted	 beantwoorde; afgelope; 
resulting	 afloop; antwoord; 
results	produkte;  aflope;  resultate;  uitslae;  kwosiënte;  gevolge;  antwoorde; 
retail	 by die klein maat verkoop; kleinhandel; 
retain	behou;  terughou; 
retained	behou; teruggehoude; 
retention	 retensie; behoud;  terughou; 
retire	aftree;  die stewels ophang;  terugval; 
retired	afgetrede;  die stewels opgehang;  teruggevalle; 
retirement	 uittreding; aftrede; 
retrieval	herwinning;  ontsluiting; 
return	 herontmoeting;  terugstoot;  terug-;  terugspeel;  terugstuur;  rendement;  terugbesorg;  hertoetrede;  opbrengs;  lewering;  terugkeer;  terugslag;  omloop; opgawe;  terugloop; 
returned	teruggestuur; 
returns	 teenblaaie;  terugsendings;  opgawes;  ongebruikte kaartjies;  terugvoer; opbrengs; 
reveal	openbaar;  ontbloot; 
revealed	 ontblote; openbaargemaakte; 
revenue	inkomste; 
revenues	inkomstes; 
reverse	wissel;  agteruit ry;  omstel;  terugstel;  agteruitry;  omruil;  onderkant;  omdraai;  agterkant;  omgekeerd;  tru;  omkeer;  tru-;  agterstevoor draai;  verwissel;  keersy; 
review	bespreek;  resensie;  oorsig;  boekbespreking;  hersiening;  hersien;  resensie (boek) bespreking; 
reviewed	geresenseerde; hersiene;  bespreekte;  oorsigtelike; 
reviews	 hersienings;  oorsigte;  resensies; besprekings;  boekbesprekings; 
revise	hersien;  revisieproef; 
revised	hersiene; 
revision	hersiening; 
revisions	hersienings; 
revitalisation	 nuwe krag gee; om nuwe lewe in te blaas;  nuwe lewe gee; 
revoke	 renonseer;  herroep; versuim; 
revolution	omwenteling;  rewolusie; 
revolutionary	 rewolusionêr; oproermaker; 
reward	vergoeding;  vergeld;  beloning;  beloon; 
rhino	renoster; 
rich	vermoëndes;  gegoedes;  rykes; welgesteldes; ryk; 
right	 regterkant; reg;  regs; 
rightful	regmatig; 
rights	regte; 
rise	 vir onbepaalde tyd verdaag;  stygslag; toename;  verheffing;  bult;  oplig;  opsteek;  ontspring;  opdraand;  opkom;  rys;  toeneem;  op die been kom;  styging;  styg; 
rising	 rysing;  opkoms; styging; 
risk	risiko;  riskeer; 
risks	risiko's; 
river	 kloofmes; rivier; 
rivers	riviere; 
road	pad;  weg;  gang; 
roads	 gange;  weë; paaie; 
robust	 onsensitief; sterk;  robuus; 
rock	 skommel;  gesteente;  rots; skud; 
rod	 stang;  lat;  oopsteek;  stafie;  walsdraad;  staf; staaf;  sluitstang;  meetroede; 
role	 funksie-aanwyser; rol; 
role-players	rolspelers; 
roles	 funksie-aanwysers; rolle; 
roll	 boekrol;  broodrolletjie;  wals;  filetroller;  golwing;  roller;  uitrol; rol;  rol materiaal; 
roll-out	ontplooiing; 
rolled	uitgerolde;  gerolde; 
rolling	 opkrulling;  walsing;  sywaartse kanteling; rol;  rondsmeding; 
rollout	ontplooiing; 
rolls	rolle; 
room	ruimte;  kamer; 
rooms	 ruimtes; kamers; 
root	 root;  wortel skiet; wortel; 
rooted	gewortel;  geworteld; 
roots	wortels; 
rose	roos; 
round	 sport;  rondte;  ronde; om;  rondstaaf;  ronde stuk;  rond;  rondelied;  beurtsang;  kringdans; 
rounded	gerond; 
roundtable	hou ’n rondetafel; 
route	lei;  roete;  roete bepaal;  roeteer; 
routes	 leie; roetes;  roete bepaal;  roeteer; 
routine	roetine; 
royal	 rojaal;  koninklik; koninklike; 
royalties	skrywersaandeel;  tantième; 
royalty	 vrugreg; aandeel;  tantième;  outeursaandeel; 
rugby	rugby;  voetbal; 
rule	 duimstok; trek;  meetstok;  liniaal;  lyn;  lynstaaf;  reël;  heerskappy;  linieer; 
rules	huishoudelike reglement;  reëls; 
ruling	 liniëring; beslissing; 
rulings	 liniërings; beslissings; 
run	 masjienryg;  vloei;  vaar;  strook;  ronde;  reeks;  druktal;  speelvak;  hellingdiepte;  loop;  leer;  vaart;  lê;  produksiereeks;  verloop;  oplaag;  laat loop;  strek;  lopie;  voorsteke werk;  dra; bestuur;  druk;  span;  looptyd;  gang; 
running	voorsteekwerk;  masjienrygsel;  masjienryging;  bestuur van huis; 
runs	lopies; 
rural	 plattelands;  buitestedelik; landelik; 
sacred	 heilig; gewyd; 
sacrifice	opoffering;  offer;  opoffer; 
sacrifices	 offer; opofferings;  opoffer; 
sad	hartseer;  treurig; 
saddened	 treurig stem; droewig word;  hartseer maak; 
sadness	hartseer;  treurigheid; 
safe	 brandkas;  brandkluis; veilig;  koskas; 
safeguard	 beskermingsmiddel; beskerm;  beveilig; 
safeguarding	beskerm;  beveilig;  beskermingsmiddels; 
safety	veiligheid; 
salaries	salarisse; 
salary	salaris; 
sale	uitverkoping; 
sales	verkope; 
salute	salueer;  saluut; 
same	dieselfde; 
sample	 monster neem;  bemonster;  monsters neem; monster;  steekproef;  steekproef trek;  steekproef neem; 
samples	 steekproewe;  monsters neem; monsters;  steekproewe trek;  steekproewe neem; 
sampling	bemonstering;  kleurskakeling;  steekproefneming;  monsterneming;  demping; 
san	 Boesman; San; 
sanction	goedkeur;  strafbedreiging;  strafmaatreëlsanksie;  sanksie; 
sanctions	sanksies; 
sanitation	sanitasie; 
sap	sap;  plantsap; 
saps	 plantsappe; sappe; 
satellite	 satelliet; volgeling; 
satisfaction	 satisfaksie;  tevredenheid; bevrediging; 
satisfactory	geskik; 
satisfied	 tevrede gestel; bevredigde; gestil; 
satisfies	 bevredig;  tevrede stel; stil; 
satisfy	 bevredig;  tevrede stel; stil; 
save	 red;  spaar; verhoed; 
saving	 saligmakend; besparing; 
savings	spaargeld;  oorskietkos; 
saw	saaglem;  saag; 
say	saai;  seggenskap; 
saying	 spreekwoord; gesegde; 
scale	 ketelsteen;  skaal {oksiedlaag op metaal;  toonskaal;  skaal;  aanpaksel;  volgens skaal teken;  skub;  skildluis;  weeginstrument;  skaalneerslag;  skilfer; verdeel;  skaleer;  afskilfer;  ontskaal;  krap;  in skaal bring;  verskaal;  weegskaal;  tekenverhouding}; 
scarce	skaars; 
scene	 tafereel; toneel;  scène; 
scenes	 taferele; tonele;  scènes; 
schedule	 vraelys;  skedule;  lys;  bylae; staat;  skeduleer; 
scheduled	gereelde skedule; 
schedules	state;  skedules;  vraelyste;  bylaes;  skeduleer;  lyste; 
scheduling	skedulering; 
scheme	 werkskema; skema;  planne beraam; 
schemes	 werkskemas; skemas;  planne beraam; 
scholar	 studiebeurshouer; geleerde;  skolier; 
scholars	skoliere;  geleerdes;  studiebeurshouers; 
scholarship	 studiebeurs; geleerdheid; 
school	 laer primêre skool;  hoër primêre skool;  sekondêre skool; skool; 
schooling	skoling; 
schools	 laer primêre skole;  hoër primêre skole; skole;  sekondêre skole; 
science	wetenskap; 
sciences	wetenskappe; 
scientific	wetenskaplik; 
scope	 bestek; omvang; 
score	 waardetoekenning;  punte aanteken;  punte behaal;  inkerf;  puntestand;  diep krap;  twintigtal;  waarde toeken;  krapmerk;  punte toeken;  keep;  telling hou;  kerf;  nasien;  die telling hou;  rits; behaal;  partituur;  'n doel behaal;  bladmusiek;  krap;  telling;  bepunt;  doel aanteken;  voukeep;  merk;  orkestreer; 
scorecard	telkaart; 
scoring	 nasiening;  bepunting; voukeping;  inkerwing; 
scourge	teistering; 
screen	 doek;  raster;  beeldskerm;  rolprentskerm;  maskeer;  sifmat;  keur;  afskerm;  visenteer;  sif;  drifselrooster;  skerm;  rooster; vertoon; 
screening	 keuring; sifting;  visentering;  maskering;  afskerming; 
script	 skryfpapier;  manuskrip;  geskrewe teks; teks;  handskrif;  skrif;  skryfletterbeeld; 
scrutinise	 fynkam; ondersoek; 
scrutiny	ondersoek; 
sculpture	beeld;  beeldhou;  beeldhouwerk;  skulptuur;  beeldhoukuns; 
se	sr; 
sea	see; 
seal	 robleer; robbeleer;  rob;  verseëling;  afdigting;  seël;  afdig-;  verseël;  afdig; 
sealed	 robleer; verseëlde;  robbeleerde;  rob;  afgedigte; 
search	 deursoeking;  visentering;  soektog; soek;  visenteer;  deursoek; 
searched	gevisenteerde;  het gesoek;  deursoekte;  het deursoek; 
season	 krui; seisoen;  geur;  droog;  klimatiseer;  jaargety;  invryf;  inbak; 
seasons	seisoene; 
seat	 setel;  punt;  bank;  sitbank;  sitvlak; plek;  mat;  bedding;  inbed;  sitplek bied;  sitplek; 
seats	 matte;  sitbanke;  beddings;  banke;  sitplekke bied;  setels;  sitplekke;  sitvlakke;  punte; plekke; 
sec	sek;  sec; 
second	 sekondeer; tweede;  sekonde; 
secondary	sekondêr; 
secondly	tweedens; 
secret	 geheime; geheim; 
secretariat	sekretariaat; 
secretary	sekretaris;  departementele sekretaris; 
secretary-general	sekretaris-generaal; 
section	 snee;  deursnee;  artikel;  seksie;  snit;  in seksies verdeel;  arseer;  baan;  rubriek;  vakkie;  gedeelte; deel;  vak;  trajek;  profiel;  afdeling;  katern; 
sectional	 deursnee-; geleed; 
sections	 vakke;  seksies;  in seksies verdeel;  trajekte;  snitte;  bane; dele;  deursnitte;  afdelings;  vakkies;  gedeeltes;  profiele;  rubrieke;  artikels;  katerns; 
sector	sektor;  tandboog; 
sectors	sektore;  tandboë; 
secure	 bemeester;  heg;  vassit;  bevestig;  vasmaak;  beveilig; verseker;  geborge;  seker;  beveiligde; 
secured	 vasgemaakte;  gehegte;  bemeesterde; bevestigde;  versekerde;  geborge;  vasgesitte;  beveiligde; 
securing	 vasmaak; bevestiging;  hegting; 
securities	effekte;  sekuriteite; 
security	 beveiliging;  sekerheid;  sekuriteit;  geborgenheid; veiligheid; 
see	kyk;  besoek;  besigtig: raadpleeg;  kuier;  besef;  konsulteer;  insien;  spreek;  verstaan;  sien;  begryp;  merk;  aanskou; 
seeing	kyk;  besoek;  besigtig;  raadpleeg;  kuier;  besef;  konsulteer;  insien;  spreek;  verstaan;  sien;  begryp;  merk;  aanskou; 
seek	soek; 
seeking	soeke; 
seeks	soek; 
seem	 skyn;  lyk na; lyk;  lyk asof; 
seems	kyk;  besoek;  besigtig: raadpleeg;  kuier;  besef;  konsulteer;  insien;  spreek;  verstaan;  sien;  begryp;  merk;  aanskou; 
seen	 het besoek;  gekonsulteer;  het besef;  gekuier; gesien;  het begryp;  gespreek;  het besigtig;  het aanskou;  geraadpleeg;  gemerk;  gekyk;  ingesien;  het verstaan; 
segment	segment;  huisie;  in huisies verdeel;  geleding; 
segregation	skeiding;  segregasie;  afsondering;  afskeiding;  segregering; 
seize	 seis;  vasbrand;  beslag lê op;  vassit;  vasdraai; vat;  in beslag neem;  vaswoel;  vasklem;  gryp; 
seized	 vasgeklemde;  het gegryp;  vasgewoelde; vasgebrande;  in beslag geneem;  het vasgesit;  vasgedraaide;  gevatte;  beslag gelê op; 
seizure	 beslaglegging;  toeval; aanval; 
select	 uitsoek;  selekteer;  keur; kies; 
selected	geselekteer; 
selection	 keurings-;  keuring;  kiesing;  verskeidenheid; keuse;  seleksie; 
self	self;  self-; 
self-determination	selfbeskikking; 
selfless	onselfsugtig; 
sell	verkoop; 
selling	verkoop; 
seminar	seminaar; 
seminars	seminare; 
send	 uitsend; oploop; 
sending	 uitsend; oploop;  loop op; send uit; 
sends	 uitsend; oploop; 
senior	 gryskop; senior; 
sense	 sintuig; sin;  sin-;  aanvoel;  oord;  gewaarword; 
sensitive	 fyngevoelig;  gevoelig; sensitief; 
sent	uitgesend; opgeloopte; 
sentence	vonnis;  sin; 
sentenced	gevonnisde; 
sentences	vonnisse;  sinne; 
separate	 afskei;  afsonderlik;  indeel;  skei; afsonderlike;  separaat;  afroom;  geskei; 
separated	 afgeskeide; afgeroomde;  geskeide;  ingedeelde; 
separately	afsonderlik; 
separation	skeiding;  afroming;  wegbreking; 
sequestration	sekwestrasie;  sekwestrering;  beslaglegging; 
series	 serie-;  ry; reeks;  serie; 
serious	ernstig; 
seriously	ernstig;  gewigtig;  gevaarlik; 
servant	bediende;  dienaar; 
servants	bediendes;  dienaars; 
serve	 beteken aan;  inskep;  bedien;  laat dek; dien;  uitskep;  van diens wees;  beklee;  opdien; 
served	ingeskepte;  uitgeskepte;  was van diens ;  beteken aan;  bediende;  beklede;  gediende;  het laat dek; opgedien; 
serves	 beteken aan;  inskep;  bedien;  laat dek; dien;  uitskep;  beklee;  van diens wees;  opdien; 
service	 servies;  bestelling; diens;  dekking;  diensgewing;  bedien;  dien;  versiening;  bediening;  diens gee;  versien; 
serviced	 bediende;  gedienste; diens gegee;  versiende; 
services	 versienings;  bestellings;  bedienings;  bedien;  dekkings; dienste;  diensgewings;  diens gee;  versien;  serviese; 
serving	 porsie; bekleding; 
session	 sessie; sitting; 
sessions	 sessies; sittings; 
set	 verstewig;  dik word;  vestig;  sit;  opstel;  vasstel;  rygbreedte;  dekor;  blok;  versameling;  breedte;  set;  groep;  vassit;  insit;  stelle aanbring;  sakking;  monteer;  stutstel;  toestel;  dek;  instel;  stol;  bind;  rigting;  spalk; stel;  pypplooi;  styf word;  ingesteldheid;  skof;  span;  binding;  weefdigtheid;  opset;  verhard; 
sets	 verstewig;  dik word;  ingesteldhede;  rygbreedtes;  versamelings;  monterings;  vestig;  skofte; stutstelle;  spanne;  vasstel;  breedtes;  stelle;  pypplooie;  set; sit;  vassit;  opstellings;  insit;  stelle aanbring; lettersette;  rigtings; dekorstelle;  bindings;  dek;  instel;  toestelle;  bind;  styf word;  groepe;  blokke;  sakkings;  verhard; 
setting	 stelling;  stolling; stand;  ondergang;  inkleding;  setting;  milieu;  dek van skinkborde;  vassakking;  instelling;  verharding;  montering;  opset; 
settle	 afsak;  laat afsak;  tot rus kom;  bedaar; vestig;  set;  leuningbank;  besink;  bylê;  sedimenteer;  besleg;  vassak; 
settled	 vasgestel; betaal;  uitgemaak;  gevestig;  ingetrek;  vas;  bestendig;  onveranderlik;  bedaard;  afgehandel; 
settlement	 afsakking;  versakking;  nedersetting; vestiging;  vassakking;  vereffening; 
settlements	 versakkings; nedersettings;  afsakkings;  vassakkings;  vestigings;  vereffenings; 
settler	besinker;  besinkstof;  nedersetter; 
settlers	 nedersetters;  besinkstowwe; besinkers; 
seven	sewe; 
several	verskeie; 
severe	ernstig;  strawwe; 
sewing	masjienstikwerk;  naaiwerk;  naaldwerk;  naai; 
sex	seks;  geslag; 
sexual	seksueel; 
sexually	seksueel; 
shall	sal; 
shape	 gedaante;  fatsoeneer;  liggaamsvorm;  buitelynvorm;  vorm van blaar;  fatsoen;  figuur;  profiel; vorm; 
shaped	 gevormde; gevorm; 
shapes	 buitelynvorme;  fatsoeneer;  figure; vorms;  liggaamsvorme;  profiele;  fatsoene;  gedaantes; 
shaping	 armskaafwerk;  vormgewing;  fatsoenering; vorming; 
share	deel;  skaar;  aandeel; 
shared	 geskaarde; gedeelde; 
shareholder	aandeelhouer; 
shareholders	aandeelhouers; 
shareholding	 aandelebelang; aandeelhouding;  aandelebesit; 
shares	aandeel; 
sharing	deel;  skaar; 
shark	haai; 
sharks	haaie; 
sharp	 kruis; skerp; 
she	sy; 
shedding	skeiding;  afwerping; 
sheet	 beplaat;  blad;  vel;  laag; staat;  vel papier;  plaat;  fynplaat;  in velle sny;  laken; 
sheets	 beplaat; bladsye; plate; state;  lae;  velle papier; lakens;  velle;  lakens;  blaaie;  in velle sny;  plate; 
shelter	skuiling;  blyplek;  skuilplek;  skuil;  onderdak;  beskutting; 
sheriff	balju; 
sheriffs	balju's; 
shift	 verskuiwing; wissel;  verskuif;  onderhemp;  verplasing;  regaf hemprok;  wisseling;  skuif;  draai;  skof;  verlegging; 
shifted	verskuifde;  gedraaide;  gewisselde; 
shifting	 skuifgroei; verskuiwing; 
shifts	 verskuiwings;  skofte; skuiwe;  draaie;  verplasings;  verleggings;  regaf hemprokke;  wissels;  wisselings; onderhemde; verskuiwings; 
ship	 inskeep;  opsit;  afsend;  terugplaas;  verskeep; skip; 
shipping	 verskeping; skeepvaart; 
ships	verskeep;  inskeep;  afsendings;  opsit;  terugplaas; 
shock	 skok; slag; 
shocked	geskokte; 
shocks	 slae; skokke; 
shopping	inkopies;  doen inkope; 
shops	werkplaas; 
shore	 skoor;  stut;  strand; kus;  oewer; 
shores	strande;  kuslyne;  oewers; 
short	 kortsluiting;  kort tanding;  bros;  kortsluit;  kort film; kort; 
short-term	kort termyn; 
shortage	tekort; 
shortages	tekorte; 
shorter	 brosser; korter; 
shortly	 net-nou; binnekort;  nou-nou;  aanstons; 
shot	 inslagskoot;  hael; skoot; 
should	behoort; 
shoulders	skouers;  padrand; 
show	 tentoonstelling;  skou; wys;  vertoning; 
showcase	uitstalkas;  vertoonkas; 
showed	geskou; gewysde; 
showing	vertoning; 
shown	aangedui; 
shows	 skou;  vertonings; wys;  tentoonstellings; 
side	 berghelling; sy;  kant van materiaal;  been;  wand;  kant;  span; 
sign	teken; 
signal	 wenk;  'n teken gee; teken;  teiken;  sein;  sinjaal;  seine gee; 
signals	 wenke;  sinjale; teikens;  tekens gee;  seine;  seine gee; 
signature	 ondertekening;  signatuur; handtekening; 
signed	getekende; 
significance	 beduidendheid; betekenis; 
significant	beduidend;  tellend; 
significantly	 beduidend; aansienlik;  aanmerklik;  betekenisvol; 
signifies	aandui; 
signify	aandui; 
signing	ondertekening; 
signs	tekens; 
silver	silwer;  versilwer; 
similar	 gelykvormig;  gelyknamig;  gelyksoortig;  similêr; eenders;  dergelik; 
similarly	 soortgelyk; dieselfde; 
simple	eenvoudig;  enkelvoudig;  gewoon; 
simply	eenvoudig;  doodeenvoudig; 
simultaneously	 tegelykertyd; gelyktydig; 
since	 sedert;  nadat;  waar;  gelede;  vandat; daar;  omdat;  van toe af;  aangesien;  daarna; 
sincere	 opregte;  opreg; eerlik; 
sincerely	 die uwe; opreg;  openhartig; 
singer	skroeier;  sanger; 
singing	gefluit; 
single	 enkelvoudig;  enkel; enkele; 
sister	suster; 
sisters	susters; 
site	 plek;  bouterrein;  posisie;  plek bepaal; plaas;  perseel;  terrein;  ligging; 
sites	 plase;  terreine;  posisies;  plekke bepaal;  persele;  bouterreine;  liggings; plekke; 
situate	plaas; 
situated	geplaasde; 
situation	situasie;  ligging; 
situations	situasies;  liggings; 
six	ses; 
sixth	sesde; 
size	 sorteer;  dikte;  groottes sorteer;  groottes gradeer;  op maat skuur;  volgens nommer vervaardig;  op maat skaaf;  nommer;  volgens grootte klassifiseer;  groottes bepaal;  planeer;  sorteer volgens grootte; grootte;  formaat;  lym;  op maat saag;  pas maak;  planeersel; 
skill	vaardigheid;  bedrewenheid; 
skilled	 geskool; vaardig; 
skills	 bedrewenhede; vaardighede; 
slave	slaafstasie;  slaaf;  slavin; 
slavery	slawerny; 
slaves	 slavinne;  slaafstasies; slawe; 
slightly	 slank;  ’n bietjie;  effentjies; effens;  tingerig ; 
slip	 alleluja;  rokvoering;  gutssteen;  skeepshelling;  voeringonderbaadjie;  strokie; gly;  steggie;  onderrok;  glip;  blomstingel;  oorslaan;  glyding;  teleskopeer; 
slow	stadig; 
small	 kruis; klein; 
small-scale	kleinskaal-; 
smaller	kleiner; 
so	so;  dus;  daarom; 
so-called	 sogenaamd; sogenaamde; 
soccer	sokker; 
social	 kolonievormend;  sosiaal;  maatskaplik; sosiale; 
socially	sosiaal;  gesellig; 
societal	gemeenskaps-; 
societies	 genootskappe; gemeenskappe;  verenigings;  samelewings; 
society	 vereniging;  genootskap;  samelewing; gemeenskap; 
socio-economic	sosio-ekonomies;  sosiaal-ekonomies; 
socioeconomic	sosio-ekonomies; sosioekonomies; 
software	programme;  programmatuur; 
soil	 besmeer;  aanvuil;  vuil;  vuil maak;  vuil smeer;  bodem? grond?; grond; 
solar	son-;  solêr; 
sold	verkoopte; 
soldier	 witvis; soldaat; 
soldiers	soldate;  witvisse; 
sole	 tongvis;  sool;  voet; vloer; 
solely	net;  alleenlik;  alleen;  uitsluitend; 
solid	vas;  vaste stof;  vastestof;  soliede formasie;  vaste liggaam;  solied; 
solidarity	solidariteit; 
solution	oplossing; 
solutions	oplossings; 
some	 ’n bietjie;  party;  ’n paar; sommige;  etlike;  enkele; 
someone	 die een of ander; iemand; 
something	iets; 
sometimes	 partykeer;  somtyds;  by tye; soms;  partymaal; 
somewhat	 ’n bietjie;  effens;  ietwat; enigsins; 
son	seun; 
song	lied; 
songs	 liede; liedere; 
soon	 net-nou; binnekort;  nou-nou;  aanstons; 
sophisticated	gesofistikeerd; 
sort	 sorteer;  karakter; soort; 
sought	 gesoekte;  gesogte; gesoek; 
soul	siel; 
souls	siele; 
sound	 foutvry; gesond;  breë seestraat;  kerngesond;  beklop;  gaaf;  klank;  geluid;  lood;  peil;  swemblaas;  betroubaar;  sondeer; 
sounds	 geluide;  swemblase; klanke;  breë seestrate;  peil; 
source	 opspoor;  oorsprong; bron; 
sources	bronne; opsporings;  oorspronge; 
sourcing	 opspoor; oorsprong; 
south	suid;  suide; 
southern	suidelike; 
sovereign	 oppermagtig; vors; 
space	 spasieerlood;  ruimte; plek;  spasieer;  ruim;  spasie; 
spaces	tussenruimtes; 
spatial	ruimtelik; 
speak	praat; 
speaker	 speaker; spreker; 
speakers	 speakers; sprekers; 
speaking	praat; 
speaks	praat; 
spear	spies; 
special	 spesiaal;  skommel; besonder;  treffer; 
specialisation	spesialisering; 
specialised	gespesialiseerde; 
specialist	spesialis; 
specialize	spesialiseer; 
specially	 uitdruklik;  besonderlik; spesiaal; 
species	soort;  spesie; 
specific	spesifiek; 
specifically	 met name;  meer bepaald;  uitdruklik;  in die besonder;  bepaald;  bepaaldelik; spesifiek; 
specification	 spesifisering; spesifikasie; 
specifications	 spesifiserings; spesifikasies; 
specified	gespesifiseer; 
specify	spesifiseer; 
specimen	 eksemplaar;  spesimen;  monster; voorbeeld; 
specimens	 voorbeelde; spesimens;  eksemplare; monsters; 
spectacular	 skouspelagtige wedstryd; pragtige;  skouspelagtig; 
spectrum	spektrum; 
speech	 aanspraak;  spraak;  praatbeurt; toespraak; 
speeches	 praatbeurte;  aansprake; toesprake; 
speed	 snelheid;  rennend; gang;  spoed;  jaag; 
speedy	gou;  haastig;  spoedig;  vinnig; 
spend	bestee;  uitgee; 
spending	bestee;  uitgee; 
spent	 gedaan; gespandeer;  het bestee;  uitgeput;  kapot;  gebruikte;  deurgebring; 
sphere	 bol; sfeer; 
spheres	sfere;  bolle; 
spirit	 spook; gees;  siel;  spiritus; 
spiritual	geestelik; 
split	 gebroke;  skreef;  verdeling;  gesplits;  kloof; verdeel;  splits;  splitsvormdeel;  splitsgang;  versplinterde keper;  split;  spleet; 
spoke	speek;  wielspeek; 
spoken	het gepraat; 
spokesperson	woordvoerder; 
sponsor	borg; 
sponsored	geborgde; 
sport	 mutasie;  speling; sport; 
sporting	sportief; 
sports	sport; 
spotlight	kollig;  soeklig; 
spouse	gade;  eggenoot;  huweliksmaat; 
spouses	 eggenotes; gades;  huweliksmaats; 
spread	 plet;  sprei;  spanwydte;  strooi; versprei;  smeer;  uitskuif;  spreiding;  span;  dis; 
square	 kwadreer;  vierkantknop;  vierkant-;  haaks maak; blokkie;  kwadraat;  kantreg;  winkelhaak;  vierkanthout;  vierkant;  vierkantprofiel;  plein;  haaks;  haaks saag;  vierkantig maak;  vierkantig;  karpet; 
stabilise	stabiliseer; 
stability	 bestendigheid; stabiliteit; 
stable	stabiel;  instoot;  stal;  bestendig;  bêre; 
stadium	stadion; 
stadiums	stadions; 
staff	 van personeel voorsien;  staf; personeel;  notebalk; 
stage	 spoedseksie;  trap; verhoog;  op die planke bring;  laat oorstaan;  hoogte;  poskoets;  étage;  ensceneer;  tafel;  gedeelte;  stand;  stadium;  steier;  platform;  trek;  stellasie;  speelvlak;  fase; 
stages	stadia; 
staging	siekteverloop;  platformwerk;  steierwerk;  werkplatform;  stadiumwerking; 
stakeholder	belanghebbende; 
stakeholders	belanghebbendes; 
stalwart	staatmaker; 
stalwarts	staatmakers; 
stamp	 stamper;  frankeer;  instampmerk;  posseël; stempel;  stamp;  blokbandstempel;  blokstempel; 
stance	standpunt;  staanhouding; 
stand	 stelling;  paviljoen; stand;  staanplek;  staandeel;  pawiljoen;  voetstuk;  stander;  standplaas;  staander; 
standard	 Buro van Standaarde;  maatstaf;  standerd;  stam-;  banier; standaard;  vlag;  ysterpaal; 
standardised	gestandaardiseerde; 
standardization	 standaardisasie; standaardisering; 
standardize	standaardiseer; 
standards	 standerds; standaarde;  staanpale;  baniere;  stam-;  maatstawwe;  ysterpale;  vlae; 
standing	stand;  staande; 
stands	 voetstukke;  paviljoene;  standplase;  staanders;  pawiljoene; stand;  stellings;  standers;  staanplekke; 
stanza	stansa;  vers;  strofe; 
star	ster; 
stars	sterrol speel; sterre; 
start	 losraak;  wegspring;  aanvang;  vat;  aansteek; begin;  aan die gang sit;  wegspringplek;  aansit;  aanloop;  aansitting;  gang; 
started	het gevat;  aangesteek;  losgeraakte;  aan die gang gesit;  aangevang;  begonne;  aangesit;  het weggespring; 
starting	aansitting;  aansit; 
starts	 losraak;  wegspring;  aanvang;  vat;  aansteek; begin;  aan die gang sit;  aansit;  aanloop; 
state	 proefafdruk; staat;  gesteldheid;  toestand; 
state-owned	in staatsbesit; 
stated	gestateerde; 
statement	 stelling;  opgawe;  konstatering; staat;  bewering;  verklaring; 
statements	opgaaf; 
states	state; 
station	 stasie; stand;  vindplek;  pos;  sitplek; 
stationery	skryfbehoeftes; 
stations	 stasies;  sitplekke;  stande; poste; 
statistical	statisties; 
statistician-general	statistikus-generaal; 
statistics	statistieke;  statistiek; 
statue	standbeeld; 
stature	 staande hoogte; gestalte;  aansien; 
statute	statuut; 
statutes	statute; 
statutory	 wetsregtelik;  statutêre; wetlik voorgeskrewe;  statutêr; 
stay	 stut;  steller; steun;  steunstrook;  afdwaal;  stag;  klap;  anker; 
steadily	toenemend;  geleidelik;  egalig; 
steady	 stil hou;  stut;  gestadig;  drablok;  teëhouer;  stewig;  reg oor;  draring;  standhoudend; keer;  bestendig;  teëhou; 
steal	steel; 
steel	staal;  staal-; 
steering	stuur;  wat ...... stuur;  sturing; 
step	tree;  graad;  danspassie;  trap;  trappie;  klimtrap;  inkeping;  klimbeweging;  klim;  stap; 
steps	 treë;  klimtrappe;  grade;  danspassies;  inkepings;  klimbewegings; stap;  trappies;  trappe; 
